Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Falkirk 15 November 1958,Falkirk,League,Home,15,November,1958,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Simpson,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 22 November 1958,Kilmarnock,League,Away,22,November,1958,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Simpson,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Grasshopper Zürich 25 November 1958,Grasshopper Zürich,Challenge Match,Home,25,November,1958,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 29 November 1958,Motherwell,League,Away,29,November,1958,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Billy Simpson,Ralph Brand,Johnny Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South v Rangers 6 December 1958,Queen of the South,League,Away,6,December,1958,1958 - 59,6-3,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 13 December 1958,Hearts,League,Home,13,December,1958,1958 - 59,5-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 20 December 1958,Aberdeen,League,Away,20,December,1958,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 27 December 1958,Third Lanark,League,Away,27,December,1958,1958 - 59,3-2,Win,George Niven,Bobby Shearer,Eric Caldow,Bobby Orr,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 1 January 1959,Celtic,League,Home,1,January,1959,1958 - 59,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 3 January 1959,Partick Thistle,League,Away,3,January,1959,1958 - 59,0-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Airdrie 21 January 1959,Airdrie,League,Home,21,January,1959,1958 - 59,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dunfermline Athletic 24 January 1959,Dunfermline Athletic,League,Home,24,January,1959,1958 - 59,1-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 28 January 1959,Dundee,League,Away,28,January,1959,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Jimmy Millar,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forfar Athletic v Rangers 31 January 1959,Forfar Athletic,Scottish Cup,Away,31,January,1959,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Jimmy Millar,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 7 February 1959,St Mirren,League,Away,7,February,1959,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Davie Wilson,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 14 February 1959,Hearts,Scottish Cup,Home,14,February,1959,1958 - 59,3-2,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 18 February 1959,Raith Rovers,League,Away,18,February,1959,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Jimmy Millar,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Stirling Albion 21 February 1959,Stirling Albion,League,Home,21,February,1959,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Billy Stevenson,Alex Scott,Jimmy Millar,Max Murray,Davie Wilson,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 28 February 1959,Celtic,Scottish Cup,Away,28,February,1959,1958 - 59,1-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Davie Wilson,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 4 March 1959,Hibs,League,Away,4,March,1959,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 7 March 1959,Clyde,League,Home,7,March,1959,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 14 March 1959,Falkirk,League,Away,14,March,1959,1958 - 59,5-5,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 21 March 1959,Kilmarnock,League,Home,21,March,1959,1958 - 59,1-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 28 March 1959,Motherwell,League,Home,28,March,1959,1958 - 59,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen of the South 6 April 1959,Queen of the South,League,Home,6,April,1959,1958 - 59,3-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 11 April 1959,Hearts,League,Away,11,April,1959,1958 - 59,0-2,Lose,George Niven,Bobby Shearer,Davie Provan,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Jimmy Millar,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Aberdeen 18 April 1959,Aberdeen,League,Home,18,April,1959,1958 - 59,1-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal v Rangers 21 April 1959,Arsenal,Challenge Match,Away,21,April,1959,1958 - 59,3-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 2 May 1959,Celtic,Glasgow Merchants Charity Cup,Home,2,May,1959,1958 - 59,1-1,Draw,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frem v Rangers 12 May 1959,Frem,Challenge Match,Away,12,May,1959,1958 - 59,4-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vejle Boldklub v Rangers 14 May 1959,Vejle Boldklub,Challenge Match,Away,14,May,1959,1958 - 59,2-2,Draw,George Niven,Bobby Shearer,Eric Caldow,Sammy Baird,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 8 August 1959,Hibs,League Cup,Away,8,August,1959,1959 - 60,6-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 12 August 1959,Motherwell,League Cup,Home,12,August,1959,1959 - 60,1-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 15 August 1959,Dundee,League Cup,Home,15,August,1959,1959 - 60,2-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,George Duncan,Ian McMillan,Jimmy Millar,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 17 August 1959,Celtic,Glasgow Cup,Away,17,August,1959,1959 - 60,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,George Duncan,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling Albion v Rangers 19 August 1959,Stirling Albion,League,Away,19,August,1959,1959 - 60,3-2,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,George Duncan,George Roy McLean,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 22 August 1959,Hibs,League Cup,Home,22,August,1959,1959 - 60,5-1,Win,George Niven,Bobby Shearer,Eric Caldow,Ian McColl,Willie Telfer,Billy Stevenson,Alex Scott,Davie Wilson,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 24 August 1959,Queen's Park,Glasgow Cup,Away,24,August,1959,1959 - 60,5-1,Win,George Niven,Bobby Shearer,John Little,Ian McColl,Bill Paterson,Billy Stevenson,Alex Scott,Davie Wilson,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 26 August 1959,Motherwell,League Cup,Away,26,August,1959,1959 - 60,1-2,Lose,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Sammy Baird,Alex Scott,Davie Wilson,Jimmy Millar,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 29 August 1959,Dundee,League Cup,Away,29,August,1959,1959 - 60,3-2,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Davie Wilson,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 5 September 1959,Celtic,League,Home,5,September,1959,1959 - 60,3-1,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Davie Wilson,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 12 September 1959,Hibs,League,Away,12,September,1959,1959 - 60,1-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Davie Wilson,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Anderlecht 16 September 1959,Anderlecht,European Cup,Home,16,September,1959,1959 - 60,5-2,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Ayr Utd 19 September 1959,Ayr Utd,League,Home,19,September,1959,1959 - 60,0-3,Lose,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderlecht v Rangers 23 September 1959,Anderlecht,European Cup,Away,23,September,1959,1959 - 60,2-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Davie Wilson,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 26 September 1959,Partick Thistle,League,Away,26,September,1959,1959 - 60,3-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Davie Wilson,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 28 September 1959,Partick Thistle,Glasgow Cup,Neutral,28,September,1959,1959 - 60,2-1,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Davie Wilson,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dunfermline Athletic 3 October 1959,Dunfermline Athletic,League,Home,3,October,1959,1959 - 60,4-1,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 10 October 1959,Dundee,League,Away,10,October,1959,1959 - 60,3-1,Win,George Niven,Bobby Shearer,John Little,Ian McColl,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 17 October 1959,St Mirren,League,Home,17,October,1959,1959 - 60,1-3,Lose,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 24 October 1959,Aberdeen,League,Away,24,October,1959,1959 - 60,5-0,Win,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 31 October 1959,Hearts,League,Home,31,October,1959,1959 - 60,0-2,Lose,George Niven,Bobby Shearer,Eric Caldow,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Andy Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 7 November 1959,Clyde,League,Home,7,November,1959,1959 - 60,6-0,Win,George Niven,Eric Caldow,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Red Star Bratislava 11 November 1959,Red Star Bratislava,European Cup,Home,11,November,1959,1959 - 60,4-3,Win,George Niven,Eric Caldow,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbroath v Rangers 14 November 1959,Arbroath,League,Away,14,November,1959,1959 - 60,4-0,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Star Bratislava v Rangers 18 November 1959,Red Star Bratislava,European Cup,Away,18,November,1959,1959 - 60,1-1,Draw,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 21 November 1959,Raith Rovers,League,Home,21,November,1959,1959 - 60,2-3,Lose,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 28 November 1959,Motherwell,League,Away,28,November,1959,1959 - 60,1-2,Lose,George Niven,Bobby Shearer,John Little,Harold Davis,Willie Telfer,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 2 December 1959,Kilmarnock,League,Home,2,December,1959,1959 - 60,5-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 12 December 1959,Third Lanark,League,Away,12,December,1959,1959 - 60,2-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 19 December 1959,Airdrie,League,Away,19,December,1959,1959 - 60,5-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Stirling Albion 26 December 1959,Stirling Albion,League,Home,26,December,1959,1959 - 60,3-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 1 January 1960,Celtic,League,Away,1,January,1960,1959 - 60,1-0,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Ralph Brand,Sammy Baird,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 2 January 1960,Hibs,League,Home,2,January,1960,1959 - 60,1-1,Draw,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Ralph Brand,Ian McMillan,Jimmy Millar,Sammy Baird,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr Utd v Rangers 9 January 1960,Ayr Utd,League,Away,9,January,1960,1959 - 60,4-2,Win,George Niven,Bobby Shearer,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 16 January 1960,Partick Thistle,League,Home,16,January,1960,1959 - 60,1-1,Draw,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunfermline Athletic v Rangers 23 January 1960,Dunfermline Athletic,League,Away,23,January,1960,1959 - 60,5-0,Win,George Niven,Eric Caldow,John Little,Sammy Baird,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick Rangers v Rangers 30 January 1960,Berwick Rangers,Scottish Cup,Away,30,January,1960,1959 - 60,3-1,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 9 February 1960,Dundee,League,Home,9,February,1960,1959 - 60,0-0,Draw,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Sammy Baird,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Arbroath 13 February 1960,Arbroath,Scottish Cup,Home,13,February,1960,1959 - 60,2-0,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenhousemuir v Rangers 27 February 1960,Stenhousemuir,Scottish Cup,Away,27,February,1960,1959 - 60,3-0,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Aberdeen 1 March 1960,Aberdeen,League,Home,1,March,1960,1959 - 60,2-2,Draw,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 5 March 1960,Hearts,League,Away,5,March,1960,1959 - 60,0-2,Lose,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta Rotterdam v Rangers 9 March 1960,Sparta Rotterdam,European Cup,Away,9,March,1960,1959 - 60,3-2,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 12 March 1960,Hibs,Scottish Cup,Home,12,March,1960,1959 - 60,3-2,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Sammy Baird,Jimmy Millar,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Sparta Rotterdam 16 March 1960,Sparta Rotterdam,European Cup,Home,16,March,1960,1959 - 60,0-1,Lose,Billy Ritchie,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Sammy Baird,Jimmy Millar,Ralph Brand,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Arbroath 19 March 1960,Arbroath,League,Home,19,March,1960,1959 - 60,1-1,Draw,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Davie Wilson,Bobby Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 26 March 1960,Raith Rovers,League,Away,26,March,1960,1959 - 60,2-1,Win,Billy Ritchie,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Sparta Rotterdam 30 March 1960,Sparta Rotterdam,European Cup,Neutral,30,March,1960,1959 - 60,3-2,Win,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 2 April 1960,Celtic,Scottish Cup,Neutral,2,April,1960,1959 - 60,1-1,Draw,George Niven,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 6 April 1960,Celtic,Scottish Cup,Neutral,6,April,1960,1959 - 60,4-1,Win,Billy Ritchie,Eric Caldow,John Little,Harold Davis,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eintracht Frankfurt v Rangers 13 April 1960,Eintracht Frankfurt,European Cup,Away,13,April,1960,1959 - 60,6-1,Lose,George Niven,Eric Caldow,John Little,Sammy Baird,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Max Murray,Jimmy Millar,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 16 April 1960,Kilmarnock,League,Away,16,April,1960,1959 - 60,1-1,Draw,George Niven,Eric Caldow,John Little,Ian McColl,Bill Paterson,Billy Stevenson,Alex Scott,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 18 April 1960,Motherwell,League,Home,18,April,1960,1959 - 60,0-2,Lose,George Niven,Bobby Shearer,John Little,Albert Franks,Bill Paterson,Billy Stevenson,Ralph Brand,Ian McMillan,Jimmy Millar,Sammy Baird,Davie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
